_attribute_set,attributes,attribute_labels_admin,attribute_labels_default
кровельные_держатели_с_бетоном,tip_derzhatelya{1};vysota_h{2};diametr_Ø{3};ves{4};pokrytie{5};test{6};zazhim{7};dop_dannye{8},"тип держателя;высота, H;диаметр, Ø;вес;покрытие;тест;зажим;доп. данные","тип держателя;высота, H;диаметр, Ø;вес;покрытие;тест;зажим;доп. данные"
держатели_вертикальные_с_дюбелем,tip_derzhatelya{1};vysota_h{2};dlina_l{3};diametr_Ø{4};ves{5};pokrytie{6};test{7};zazhim{8};dop_dannye{9},"тип держателя;высота, H;длина, L;диаметр, Ø;вес;покрытие;тест;зажим;доп. данные","тип держателя;высота, H;длина, L;диаметр, Ø;вес;покрытие;тест;зажим;доп. данные"
держатели_натяжные,tip{2};vysota_h{3};dlina_l{4};diametr_Ø{5};ves{6};pokrytie{7};test{8};zazhim{9};dop_dannye{10},"тип;высота, H;длина, L;диаметр, Ø;вес;покрытие;тест;зажим;доп. данные","тип;высота, H;длина, L;диаметр, Ø;вес;покрытие;тест;зажим;доп. данные"
соединение_штыря_зажим_через_замок,tip{2};vysota_h{3};dlina_l{4};diametr_Ø{5};ves{6};pokrytie{7};test{8};zazhim{9};dop_dannye{10},"тип;высота, H;длина, L;диаметр, Ø;вес;покрытие;тест;зажим;доп. данные","тип;высота, H;длина, L;диаметр, Ø;вес;покрытие;тест;зажим;доп. данные"
соединение_штыря_зажим_через_резьбу,tip{2};vysota_h{3};dlina_l{4};diametr_Ø{5};ves{6};pokrytie{7};test{8};zazhim{9};dop_dannye{10},"тип;высота, H;длина, L;диаметр, Ø;вес;покрытие;тест;зажим;доп. данные","тип;высота, H;длина, L;диаметр, Ø;вес;покрытие;тест;зажим;доп. данные"
ударные_головки,tip{2};vysota_h{3};dlina_l{4};diametr_Ø{5};ves{6};pokrytie{7};test{8};zazhim{9};dop_dannye{10},"тип;высота, H;длина, L;диаметр, Ø;вес;покрытие;тест;зажим;доп. данные","тип;высота, H;длина, L;диаметр, Ø;вес;покрытие;тест;зажим;доп. данные"
ревизионные_колодцы,tip{1};vysota_h{2};dlina_l{3};diametr_Ø{4};ves{5};cvet{6};pokrytie{7};test{8};zazhim{9};dop_dannye{10},"тип;высота, H;длина, L;диаметр, Ø;вес;цвет;покрытие;тест;зажим;доп. данные","тип;высота, H;длина, L;диаметр, Ø;вес;цвет;покрытие;тест;зажим;доп. данные"
молниеприемники,tip{1};vremennoe_operezhenie{2};material{3};razmer{4};vysota_h{5};vysota_h1{6};vysota_h2{7};dlina_l{8};dlina_l1{9};dlina_l2{10};diametr_Ø{11};diametr_sterzhnya{12};osnovanie_razmery{13};podstavka_betonnaya_razmery{14};ves_1_osnovaniya{15};ves{16};rezinovaya_podkladka_razmery{17};radius_podstavki_a{18};vetrovaya_nagruzka{19};pokrytie{20};test{21};zazhim{22};dop_dannye{23},"тип;временное опережение;материал;размер;высота, H;высота, H1;высота, H2;длина, L;длина, L1;длина, L2;диаметр, Ø;диаметр стержня;основание - размеры;подставка бетонная - размеры;вес 1 основания;вес;резиновая подкладка - размеры;радиус подставки A;ветровая нагрузка;покрытие;тест;зажим;доп. данные","тип;временное опережение;материал;размер;высота, H;высота, H1;высота, H2;длина, L;длина, L1;длина, L2;диаметр, Ø;диаметр стержня;основание - размеры;подставка бетонная - размеры;вес 1 основания;вес;резиновая подкладка - размеры;радиус подставки A;ветровая нагрузка;покрытие;тест;зажим;доп. данные"
элементы_крепления_изолированным_токоотводом,tip{2};vysota_h{3};dlina_l{4};dlina_l1{5};diametr_Ø{6};diametr_Ø1{7};diametr_Ø2{8};ves{9};cvet{10};pokrytie{11};material{12};test{13};zazhim{14};dop_dannye{15},"тип;высота, H;длина, L;длина, L1;диаметр, Ø;диаметр, Ø1;диаметр, Ø2;вес;цвет;покрытие;материал;тест;зажим;доп. данные","тип;высота, H;длина, L;длина, L1;диаметр, Ø;диаметр, Ø1;диаметр, Ø2;вес;цвет;покрытие;материал;тест;зажим;доп. данные"
инструменты_для_выравнивания_прута,tip{1};dlina{2};shirina{3};vysota_s_rukoyatkoy_{4};ves{5};material{6};ruchka{7};obsluzhivanie{8};dop_dannye{10},"тип;длина;ширина;высота (с рукояткой);вес;материал;ручка;обслуживание;доп. данные","тип;длина;ширина;высота (с рукояткой);вес;материал;ручка;обслуживание;доп. данные"
