_attribute_set,attributes,attribute_labels_admin,attribute_labels_default
гидроизоляция,naznachenie{2};konsistenciya{3};cvet{4};rashod{5};trebuemoe_kol_vo{6};plotnost_smesi{7};plotnost{8};t_primeneniya{9};vremya_zhiznesposobnosti_smesi{10};gotovnost_k_ispolzovaniyu{11};max_tolschina_sloya{12};min_tolschina_suhoy_plenki{13};okonchatelnaya_fiksaciya{14};termoustoychivost{15};vodopogloschenie{16};vodopronicaemost{17};paropronicaemost{18};morozostoykost{19};hranenie{20};upakovka_massa_{21};upakovka_obem_{22};dop_dannye{23};primechanie{24},назначение;консистенция;цвет;расход;требуемое кол-во;плотность смеси;плотность;t применения;время жизнеспособности смеси;готовность к использованию;max толщина слоя;min толщина сухой пленки;окончательная фиксация;термоустойчивость;водопоглощение;водопроницаемость;паропроницаемость;морозостойкость;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание,назначение;консистенция;цвет;расход;требуемое кол-во;плотность смеси;плотность;t применения;время жизнеспособности смеси;готовность к использованию;max толщина слоя;min толщина сухой пленки;окончательная фиксация;термоустойчивость;водопоглощение;водопроницаемость;паропроницаемость;морозостойкость;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание
гусеничные_экскаваторы,massa{1};glavnyy{2};dvigatel{3};moschnost_dvigatelya{4};chislo_oborotov{5};chis_obor_pri_max_krut_mome{6};ekspluatacionnaya_moschnost{7};ekspluatacionnaya_massa{8};obem_dvigatelya{9};gabaritnaya_dlina{10};gabaritnaya_shirina{11};gabaritnaya_vysota{12};obem_ekskavatornogo_kovsha{13};poleznyy_obem{14};shirina_gusenichnyh_trakov{15};shirina_kovsha{16};tyagovoe_usilie_na_kryuke{17};glubina_kopaniya{18};sila_cherpaniya{19};sila_kopaniya_na_kovshe{20};sila_kopaniya_na_rukoyati{21};vyryvnoe_usilie{22};udelnoe_davlenie_na_grunt{23};nizhnyaya_telezhka{24};strela{25};dlina_strely{26};dlina_rukoyati{27};gorizontalnyy_vylet{28};glavnyy_nasos{29};max_usilie_otryva_na_rukoyati{30};max_usilie_otryva_na_kovshe{31};dop_dannye{32},масса;главный;двигатель;мощность двигателя;число оборотов;число оборотов при max. крутящем моменте;эксплуатационная мощность;эксплуатационная масса;объем двигателя;габаритная длина;габаритная ширина;габаритная высота;объем экскаваторного ковша;полезный объем;ширина гусеничных траков;ширина ковша;тяговое усилие на крюке;глубина копания;сила черпания;сила копания на ковше;сила копания на рукояти;вырывное усилие;удельное давление на грунт;нижняя тележка;стрела;длина стрелы;длина рукояти;горизонтальный вылет;главный насос;max. усилие отрыва на рукояти;max. усилие отрыва на ковше;доп. данные,масса;главный;двигатель;мощность двигателя;число оборотов;число оборотов при max. крутящем моменте;эксплуатационная мощность;эксплуатационная масса;объем двигателя;габаритная длина;габаритная ширина;габаритная высота;объем экскаваторного ковша;полезный объем;ширина гусеничных траков;ширина ковша;тяговое усилие на крюке;глубина копания;сила черпания;сила копания на ковше;сила копания на рукояти;вырывное усилие;удельное давление на грунт;нижняя тележка;стрела;длина стрелы;длина рукояти;горизонтальный вылет;главный насос;max. усилие отрыва на рукояти;max. усилие отрыва на ковше;доп. данные
бульдозеры,massa{1};moschnost_dvigatelya{2};emkost_toplivnogo_baka{3};podem_otvala{4};shirina_otvala{5};emkost_otvala{6};vmestimost_otvala{7};gabaritnaya_vysota{8};gaba_shir_bez_otva_{9};gabaritnaya_shirina_s_otvalom_{10};gabaritnaya_dlina_s_otvalom_{11};dop_dannye{12},масса;мощность двигателя;емкость топливного бака;подъем отвала;ширина отвала;емкость отвала;вместимость отвала;габаритная высота;габаритная ширина (без отвала);габаритная ширина (с отвалом);габаритная длина (с отвалом);доп. данные,масса;мощность двигателя;емкость топливного бака;подъем отвала;ширина отвала;емкость отвала;вместимость отвала;габаритная высота;габаритная ширина (без отвала);габаритная ширина (с отвалом);габаритная длина (с отвалом);доп. данные
колесные_экскаваторы,massa{1};dvigatel{2};korobka_peredach{3};tip_dvigatelya{4};moschnost_dvigatelya{5};chislo_oborotov{6};ekspluatacionnaya_moschnost{7};ekspluatacionnaya_massa{8};max_skorost_dvizheniya{9};emkost_toplivnogo_baka{10};kolesnaya_formula{11};rezhim_rulevogo_upravleniya{12};elektrika{13};shassi{14};gabaritnaya_dlina{15};gabaritnaya_shirina{16};gabaritnaya_vysota{17};obem_pogruzochnogo_kovsha{18};obem_ekskavatornogo_kovsha{19};obem_prelagaemyh_kovshey{20};max_vysota_podema_kovsha{21};max_vysota_vygruzki{22};ugol_povorota_kovsha{23};radius_razvorota{24};proi_naso_gidr_sist{25};uroven_shuma{26};glubina_kopaniya{27};max_tyagovoe_usilie{28};max_vylet_strely{29};kovsh{30};vysota_vygruzki{31};vyso_do_gori_dnis{32};vysota_osi_sharnira_kovsha{33};vylet_osi_sharnira_kovsha{34};vyle_krom_kovs_na_urov_zeml{35};max_vylet_podnyatogo_kovsha{36};vyle_podn_kovs_pri_vygr{37};ugol_zaprokidyvaniya_kovsha{38};ugol_vygruzki{39};shirina_raskrytiya_chelyustey{40};dop_dannye{41},масса;двигатель;коробка передач;тип двигателя;мощность двигателя;число оборотов;эксплуатационная мощность;эксплуатационная масса;max. скорость движения;емкость топливного бака;колесная формула;режим рулевого управления;электрика;шасси;габаритная длина;габаритная ширина;габаритная высота;объем погрузочного ковша;объем экскаваторного ковша;объем прелагаемых ковшей;max. высота подъема ковша;max. высота выгрузки;угол поворота ковша;радиус разворота;производительность насосов гидравлической системы;уровень шума;глубина копания;max. тяговое усилие;max. вылет стрелы;ковш;высота выгрузки;высота до горизонтального днища;высота оси шарнира ковша;вылет оси шарнира ковша;вылет кромки ковша на уровне земли;max. вылет поднятого ковша;вылет поднятого ковша при выгрузке;угол запрокидывания ковша;угол выгрузки;ширина раскрытия челюстей;доп. данные,масса;двигатель;коробка передач;тип двигателя;мощность двигателя;число оборотов;эксплуатационная мощность;эксплуатационная масса;max. скорость движения;емкость топливного бака;колесная формула;режим рулевого управления;электрика;шасси;габаритная длина;габаритная ширина;габаритная высота;объем погрузочного ковша;объем экскаваторного ковша;объем прелагаемых ковшей;max. высота подъема ковша;max. высота выгрузки;угол поворота ковша;радиус разворота;производительность насосов гидравлической системы;уровень шума;глубина копания;max. тяговое усилие;max. вылет стрелы;ковш;высота выгрузки;высота до горизонтального днища;высота оси шарнира ковша;вылет оси шарнира ковша;вылет кромки ковша на уровне земли;max. вылет поднятого ковша;вылет поднятого ковша при выгрузке;угол запрокидывания ковша;угол выгрузки;ширина раскрытия челюстей;доп. данные
ямобуры,diametr_bureniya{1};glubina_bureniya{2};dop_dannye{4},диаметр бурения;глубина бурения;доп. данные,диаметр бурения;глубина бурения;доп. данные
погрузчики,massa{1};nominalnaya_gruzopodemnost{2};dvigatel{3};moschnost_dvigatelya{4};kolesa{5};korobka_peredach{6};privod{7};skorost_s_bez_gruza{8};rulevoe_upravlenie{9};shassi{10};vysota_podema{11};gabaritnaya_dlina{12};gabaritnaya_shirina{13};gabaritnaya_vysota{14};dop_dannye{15},масса;номинальная грузоподъемность;двигатель;мощность двигателя;колеса;коробка передач;привод;скорость с / без груза;рулевое управление;шасси;высота подъема;габаритная длина;габаритная ширина;габаритная высота;доп. данные,масса;номинальная грузоподъемность;двигатель;мощность двигателя;колеса;коробка передач;привод;скорость с / без груза;рулевое управление;шасси;высота подъема;габаритная длина;габаритная ширина;габаритная высота;доп. данные
вибропогружатели,massa{1};raskrytie_zahvata{2};davlenie_zahvata{3};dop_dannye{5},масса;раскрытие захвата;давление захвата;доп. данные,масса;раскрытие захвата;давление захвата;доп. данные
плиткорезы,tip{1};naznachenie{2};karetka_na_podshipnikah{3};rezhuschiy_element{4};max_dlina_rezki{5};max_glubina_rezki{6};rezak_otverstiy{7};diametr_vyrezaemyh_otverstiy{8};ves{9},тип;назначение;каретка на подшипниках;режущий элемент;max длина резки;max глубина резки;резак отверстий;диаметр вырезаемых отверстий;вес,тип;назначение;каретка на подшипниках;режущий элемент;max длина резки;max глубина резки;резак отверстий;диаметр вырезаемых отверстий;вес
шпатлевки,naznachenie{1};konsistenciya{2};cvet{3};stepen_bleska{4};rashod_obem_{5};rashod_massa_{6};plotnost{7};t_naneseniya{8};tolschina_sloya{9};srok_godnosti_smesi{10};voda_dlya_smesi{11};morozostoykost{12};hranenie{13};upakovka_massa_{14};upakovka_obem_{15};dop_dannye{16};primechanie{17},назначение;консистенция;цвет;степень блеска;расход (объем);расход (масса);плотность;t нанесения;толщина слоя;срок годности смеси;вода для смеси;морозостойкость;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание,назначение;консистенция;цвет;степень блеска;расход (объем);расход (масса);плотность;t нанесения;толщина слоя;срок годности смеси;вода для смеси;морозостойкость;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание
ремонтные_смеси,naznachenie{2};konsistenciya{3};cvet{4};rashod_massa_{5};rashod_obem_{6};koli_vody_neob_dlya_zatv{7};tols_vyra_sloy{8};srok_godnosti_smesi{9};peshehodnoe_dvizhenie{10};t_pri_nanesenii{11};morozostoykost{12};hranenie{13};upakovka_massa_{14};upakovka_obem_{15};dop_dannye{16};primechanie{17},"назначение;консистенция;цвет;расход (масса);расход (объем);количество воды, необходимое для затворения;толщина выравнивающего слоя;срок годности смеси;пешеходное движение;t при нанесении;морозостойкость;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание","назначение;консистенция;цвет;расход (масса);расход (объем);количество воды, необходимое для затворения;толщина выравнивающего слоя;срок годности смеси;пешеходное движение;t при нанесении;морозостойкость;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание"
аэраторы_скарификаторы_,pitanie{1};tip_akkumulyatora{2};tip_dvigatelya{3};napryazhenie{4};chastota{5};emkost_akkumulyatora{6};vremya_zaryadki_akkumulyatora{7};vremya_raboty_ot_akkumulyatora{8};zapasnoy_akkumulyator{9};rabochiy_obem_dvigatelya{10};emkost_toplivnogo_baka{11};emkost_maslyanogo_baka{12};puskovoy_nasos{13};moschnost{14};sistema_valikov{15};kolichestvo_zubev{16};kolichestvo_nozhey{17};regulirovka_glubiny_obrabotki{18};koli_urov_glub_obra{19};glubina_obrabotki{20};shirina_obrabotki{21};travosbornik{22};obem_travosbornika{23};tip_travosbornika{24};material_korpusa{25};mulchirovanie{26};samohodnaya{27};uroven_shuma{28};ves{29},питание;тип аккумулятора;тип двигателя;напряжение;частота;ёмкость аккумулятора;время зарядки аккумулятора;время работы от аккумулятора;запасной аккумулятор;рабочий объём двигателя;ёмкость топливного бака;ёмкость масляного бака;пусковой насос;мощность;система валиков;количество зубьев;количество ножей;регулировка глубины обработки;количество уровней глубины обработки;глубина обработки;ширина обработки;травосборник;объем травосборника;тип травосборника;материал корпуса;мульчирование;самоходная;уровень шума;вес,питание;тип аккумулятора;тип двигателя;напряжение;частота;ёмкость аккумулятора;время зарядки аккумулятора;время работы от аккумулятора;запасной аккумулятор;рабочий объём двигателя;ёмкость топливного бака;ёмкость масляного бака;пусковой насос;мощность;система валиков;количество зубьев;количество ножей;регулировка глубины обработки;количество уровней глубины обработки;глубина обработки;ширина обработки;травосборник;объем травосборника;тип травосборника;материал корпуса;мульчирование;самоходная;уровень шума;вес
теплоизоляция,naznachenie{1};konsistenciya{2};cvet{3};t_vo_vremya_naneseniya{4};t_poverhnosti{5};hranenie{6};upakovka_massa_{7};upakovka_obem_{8};dop_dannye{9};primechanie{11},назначение;консистенция;цвет;t во время нанесения;t поверхности;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание,назначение;консистенция;цвет;t во время нанесения;t поверхности;хранение;упаковка (масса);упаковка (объем);доп. данные;примечание
дальномеры,tip_dalnomera{1};pitanie{2};napryazhenie{3};emkost_akkumulyatora{4};vremya_zaryadki_akkumulyatora{5};razem_dlya_zaryadnogo_ust_va{6};kol_vo_izme_na_odno_zary{7};diapazon_izmeryaemoy_dliny{8};pogreshnost_izmereniya_dliny{9};cena_dele_pri_izme_dlin{10};ugol_vyho_ultr_sign{11};edinicy_izmereniya{12};vremya_izmereniya{13};klass_lazera{14};kol_vo_luchey{15};dlin_voln_laze_izlu{16};mosc_laze_izlu{17};kol_vo_tochek_nachala_otscheta{18};avtootklyuchenie_lazera{19};avtootklyuchenie_pribora{20};pozicionnaya_skoba{21};vozm_usta_na_shta{22};diametr_rezby_pod_shtativ{23};displey{24};podsvetka_displeya{25};povorot_displeya{26};funkciya_pamyati{27};kol_vo_sohranennyh_znacheniy{28};funkciya_taymera{29};opticheskiy_pricel{30};vstr_datc_ugla_nakl{31};diapazon_izmereniya_ugla{32};pogreshnost_izmereniya_ugla{33};cena_dele_pri_izme_ugla{34};napr_shin_uklo{35};peredacha_dannyh_po_bluetooth{36};vstroennyy_puzyrkovyy_uroven{37};diapazon_rabochih_temperatur{38};diapazon_temperatur_hraneniya{39};diap_temp_pri_zary{40};otno_vlaz_vozd{41};klass_zaschischennosti_korpusa{42};gabarity_DhShhV_{43};ves{44};chehol{45};klass_pribora{46},тип дальномера;питание;напряжение;ёмкость аккумулятора;время зарядки аккумулятора;разъём для зарядного уст-ва;кол-во измерений на одной зарядке;диапазон измеряемой длины;погрешность измерения длины;цена деления при измерении длины;угол выхода ультразвукового сигнала;единицы измерения;время измерения;класс лазера;кол-во лучей;длина волны лазерного излучения;мощность лазерного излучения;кол-во точек начала отсчета;автоотключение лазера;автоотключение прибора;позиционная скоба;возможность установки на штатив;диаметр резьбы под штатив;дисплей;подсветка дисплея;поворот дисплея;функция памяти;кол-во сохранённых значений;функция таймера;оптический прицел;встроенный датчик угла наклона;диапазон измерения угла;погрешность измерения угла;цена деления при измерении угла;направляющая шина-уклономер;передача данных по Bluetooth;встроенный пузырьковый уровень;диапазон рабочих температур;диапазон температур хранения;диапазон температур при зарядке;относительная влажность воздуха;класс защищенности корпуса;габариты (ДхШхВ);вес;чехол;класс прибора,тип дальномера;питание;напряжение;ёмкость аккумулятора;время зарядки аккумулятора;разъём для зарядного уст-ва;кол-во измерений на одной зарядке;диапазон измеряемой длины;погрешность измерения длины;цена деления при измерении длины;угол выхода ультразвукового сигнала;единицы измерения;время измерения;класс лазера;кол-во лучей;длина волны лазерного излучения;мощность лазерного излучения;кол-во точек начала отсчета;автоотключение лазера;автоотключение прибора;позиционная скоба;возможность установки на штатив;диаметр резьбы под штатив;дисплей;подсветка дисплея;поворот дисплея;функция памяти;кол-во сохранённых значений;функция таймера;оптический прицел;встроенный датчик угла наклона;диапазон измерения угла;погрешность измерения угла;цена деления при измерении угла;направляющая шина-уклономер;передача данных по Bluetooth;встроенный пузырьковый уровень;диапазон рабочих температур;диапазон температур хранения;диапазон температур при зарядке;относительная влажность воздуха;класс защищенности корпуса;габариты (ДхШхВ);вес;чехол;класс прибора
ротационные,pitanie{2};vrem_rabo_na_1_zary_bata{3};vrem_rabo_na_1_zary_akku_{4};rabo_diap_bez_prie_radi_{5};rabo_diap_s_prie_radi_{6};toch_nive_po_gori_{7};toch_nive_po_vert_{8};tip_vyravnivaniya{9};vremya_samovyravnivaniya{10};ugol_samovyravnivaniya{11};otklyuchenie_vyravnivaniya{12};kol_vo_lazernyh_diodov{13};klass_lazera{14};dlina_volny_lazernogo_dioda{15};moschnost_lazernogo_dioda{16};cvet_lazera{17};napravlenie_luchey{18};regu_skor_vras{19};tip_regu_skor_vras{20};kol_vo_stup_skor_vras{21};diapazon_skorosti_vrascheniya{22};lineynyy_rezhim{23};tochechnyy_rezhim{24};funkciya_skanirovaniya{25};ugly_razv_pri_skan{26};poverka{27};ZhK_displey{28};vozm_usta_na_shta{29};diametr_rezby_pod_shtativ{30};diapazon_rabochih_temperatur{31};diapazon_temperatur_hraneniya{32};otno_vlaz_vozd{33};step_zasc_korp{34};gabarity_DhShhV_{35};ves{36};klass_pribora{37};shtativ{38};nastennyy_derzhatel{39};lazernyy_priemnik{40};keys_sumka_{41};pult_DU{42};akkumulyator_y_{43};zaryadnoe_ustroystvo{44},питание;время работы на 1 заряде батарей;время работы на 1 заряде аккум.;рабочий диапазон без приемника (радиус);рабочий диапазон с приемником (радиус);точность нивелирования (по горизонтали);точность нивелирования (по вертикали);тип выравнивания;время самовыравнивания;угол самовыравнивания;отключение выравнивания;кол-во лазерных диодов;класс лазера;длина волны лазерного диода;мощность лазерного диода;цвет лазера;направление лучей;регулировка скорости вращения;тип регулировки скорости вращения;кол-во ступеней скорости вращения;диапазон скорости вращения;линейный режим;точечный режим;функция сканирования;углы развертки при сканировании;поверка;ЖК-дисплей;возможность установки на штатив;диаметр резьбы под штатив;диапазон рабочих температур;диапазон температур хранения;относительная влажность воздуха;степень защищенности корпуса;габариты (ДхШхВ);вес;класс прибора;штатив;настенный держатель;лазерный приемник;кейс (сумка);пульт ДУ;аккумулятор(ы);зарядное устройство,питание;время работы на 1 заряде батарей;время работы на 1 заряде аккум.;рабочий диапазон без приемника (радиус);рабочий диапазон с приемником (радиус);точность нивелирования (по горизонтали);точность нивелирования (по вертикали);тип выравнивания;время самовыравнивания;угол самовыравнивания;отключение выравнивания;кол-во лазерных диодов;класс лазера;длина волны лазерного диода;мощность лазерного диода;цвет лазера;направление лучей;регулировка скорости вращения;тип регулировки скорости вращения;кол-во ступеней скорости вращения;диапазон скорости вращения;линейный режим;точечный режим;функция сканирования;углы развертки при сканировании;поверка;ЖК-дисплей;возможность установки на штатив;диаметр резьбы под штатив;диапазон рабочих температур;диапазон температур хранения;относительная влажность воздуха;степень защищенности корпуса;габариты (ДхШхВ);вес;класс прибора;штатив;настенный держатель;лазерный приемник;кейс (сумка);пульт ДУ;аккумулятор(ы);зарядное устройство
линейные,pitanie{1};prod_rabo_ot_bata_{2};impulsnyy_rezhim{3};radius_deystviya_bez_priemnika{4};radi_deys_bez_prie_impu_rezh_{5};radius_deystviya_s_priemnikom{6};tochnost_nivelirovaniya{7};tip_vyravnivaniya{8};ugol_samovyravnivaniya{9};vremya_samovyravnivaniya{10};otklyuchenie_samovyravnivaniya{11};zvukovoy_signal_Vne_urovnya_{12};vizualnyy_signal_Vne_urovnya_{13};kol_vo_luchey{14};napravlenie_luchey{15};razdelnoe_vklyuchenie_luchey{16};ugol_razvertki{17};klass_lazera{18};dlin_voln_laze_izlu{19};mosc_laze_izlu{20};cvet_lazera{21};min_dlitelnost_impulsa{22};poverka{23};avto_otkl_pri_pros{24};vrem_otkl_pri_pros{25};vozm_usta_na_shta{26};diametr_rezby_pod_shtativ{27};diapazon_rabochih_temperatur{28};diapazon_temperatur_hraneniya{29};otno_vlaz_vozd{30};step_zasc_korp{31};gabarity_DhShhV_{32};ves{33};klass_pribora{34};lazernyy_priemnik{35};shtativ{36};nastennyy_derzhatel{37};chehol{38};sumka_keys_{39};batareyki{40};akkumulyatory{41};zaryadnoe_ustroystvo{42},"питание;продолжительность работы (от батарей);импульсный режим;радиус действия без приёмника;радиус действия без приёмника (импульсный режим);радиус действия с приёмником;точность нивелирования;тип выравнивания;угол самовыравнивания;время самовыравнивания;отключение самовыравнивания;звуковой сигнал ""Вне уровня"";визуальный сигнал ""Вне уровня"";кол-во лучей;направление лучей;раздельное включение лучей;угол развертки;класс лазера;длина волны лазерного излучения;мощность лазерного излучения;цвет лазера;min длительность импульса;поверка;автоматика отключения при простое;время отключения при простое;возможность установки на штатив;диаметр резьбы под штатив;диапазон рабочих температур;диапазон температур хранения;относительная влажность воздуха;степень защищенности корпуса;габариты (ДхШхВ);вес;класс прибора;лазерный приемник;штатив;настенный держатель;чехол;сумка (кейс);батарейки;аккумуляторы;зарядное устройство","питание;продолжительность работы (от батарей);импульсный режим;радиус действия без приёмника;радиус действия без приёмника (импульсный режим);радиус действия с приёмником;точность нивелирования;тип выравнивания;угол самовыравнивания;время самовыравнивания;отключение самовыравнивания;звуковой сигнал ""Вне уровня"";визуальный сигнал ""Вне уровня"";кол-во лучей;направление лучей;раздельное включение лучей;угол развертки;класс лазера;длина волны лазерного излучения;мощность лазерного излучения;цвет лазера;min длительность импульса;поверка;автоматика отключения при простое;время отключения при простое;возможность установки на штатив;диаметр резьбы под штатив;диапазон рабочих температур;диапазон температур хранения;относительная влажность воздуха;степень защищенности корпуса;габариты (ДхШхВ);вес;класс прибора;лазерный приемник;штатив;настенный держатель;чехол;сумка (кейс);батарейки;аккумуляторы;зарядное устройство"
сканеры_уровня_пола,naznachenie{1};pitanie{2};prod_rabo_ot_bata_{3};prod_rabo_ot_akku_{4};rabochiy_diapazon{5};rabo_diap_s_otra_plas_{6};tochnost_nivelirovaniya{7};ugol_samonivelirovaniya{8};tip_vyravnivaniya{9};vremya_samovyravnivaniya{10};proekciya{11};klass_lazera{12};dlin_voln_laze_izlu{13};mosc_laze_izlu{14};cvet_lazera{15};poverka{16};vras_prib_pri_skan{17};regu_skor_vras{18};kol_vo_skorostey_vrascheniya{19};skorost_vrascheniya{20};upra_dist_pult{21};avto_otkl_pri_pros{22};vrem_otkl_pri_pros{23};diapazon_rabochih_temperatur{24};diapazon_temperatur_hraneniya{25};otno_vlaz_vozd{26};step_zasc_korp{27};gabarity_DhShhV_{28};ves{29};klass_pribora{30};pult_DU_v_komplekte{31};batareyka_i_v_komplekte{32};akkumulyator_y_v_komplekte{33};zary_ustr_v_komp{34};keys_v_komplekte{36},назначение;питание;продолжительность работы (от батареек);продолжительность работы (от аккум.);рабочий диапазон;рабочий диапазон (с отражающей пластиной);точность нивелирования;угол самонивелирования;тип выравнивания;время самовыравнивания;проекция;класс лазера;длина волны лазерного излучения;мощность лазерного излучения;цвет лазера;поверка;вращение прибора при сканировании;регулировка скорости вращения;кол-во скоростей вращения;скорость вращения;управление дистанционным пультом;автоматика отключения при простое;время отключения при простое;диапазон рабочих температур;диапазон температур хранения;относительная влажность воздуха;степень защищенности корпуса;габариты (ДхШхВ);вес;класс прибора;пульт ДУ в комплекте;батарейка(и) в комплекте;аккумулятор(ы) в комплекте;зарядное устройство в комплекте;кейс в комплекте,назначение;питание;продолжительность работы (от батареек);продолжительность работы (от аккум.);рабочий диапазон;рабочий диапазон (с отражающей пластиной);точность нивелирования;угол самонивелирования;тип выравнивания;время самовыравнивания;проекция;класс лазера;длина волны лазерного излучения;мощность лазерного излучения;цвет лазера;поверка;вращение прибора при сканировании;регулировка скорости вращения;кол-во скоростей вращения;скорость вращения;управление дистанционным пультом;автоматика отключения при простое;время отключения при простое;диапазон рабочих температур;диапазон температур хранения;относительная влажность воздуха;степень защищенности корпуса;габариты (ДхШхВ);вес;класс прибора;пульт ДУ в комплекте;батарейка(и) в комплекте;аккумулятор(ы) в комплекте;зарядное устройство в комплекте;кейс в комплекте
линейно_точечные,pitanie{1};prod_rabo_ot_bata_{2};rabo_diap_bez_prie_lini_{3};rabo_diap_bez_prie_gori_toch_{4};rabo_diap_bez_prie_toch_vver_{5};rabo_diap_bez_prie_toch_vniz_{6};rabochiy_diapazon_s_priemnikom{7};tochnost_nivelirovaniya_linii_{8};toch_nive_gori_toch_{9};toch_nive_toch_vniz_{10};toch_nive_toch_vver_{11};tip_vyravnivaniya{12};ugol_samovyravnivaniya{13};otklyuchenie_vyravnivaniya{14};vremya_samovyravnivaniya{15};zvukovoy_signal_Vne_urovnya_{16};vizualnyy_signal_Vne_urovnya_{17};proekciya{18};razdelnoe_vklyuchenie_luchey{19};napravlenie_lazernyh_tochek{20};napravlenie_lazernyh_liniy{21};klass_lazera{22};dlin_voln_laze_izlu{23};mosc_laze_izlu{24};cvet_lazera{25};poverka{26};avto_otkl_pri_pros{27};vrem_otkl_pri_pros{28};vozm_usta_na_shta{29};diametr_rezby_pod_shtativ{30};diapazon_rabochih_temperatur{31};diapazon_temperatur_hraneniya{32};otno_vlaz_vozd{33};step_zasc_korp{34};gabarity_DhShhV_{35};ves{36};klass_pribora{37};lazernyy_priemnik{38};shtativ{39};nastennyy_derzhatel{40};chehol{41};sumka_keys_{42};batareyki{43};akkumulyatory{44};zaryadnoe_ustroystvo{45},"питание;продолжительность работы (от батарей);рабочий диапазон без приёмника (линии);рабочий диапазон без приёмника (горизонтальные точки);рабочий диапазон без приёмника (точка вверх);рабочий диапазон без приёмника (точка вниз);рабочий диапазон с приёмником;точность нивелирования (линии);точность нивелирования (горизонтальные точки);точность нивелирования (точка вниз);точность нивелирования (точка вверх);тип выравнивания;угол самовыравнивания;отключение выравнивания;время самовыравнивания;звуковой сигнал ""Вне уровня"";визуальный сигнал ""Вне уровня"";проекция;раздельное включение лучей;направление лазерных точек;направление лазерных линий;класс лазера;длина волны лазерного излучения;мощность лазерного излучения;цвет лазера;поверка;автоматика отключения при простое;время отключения при простое;возможность установки на штатив;диаметр резьбы под штатив;диапазон рабочих температур;диапазон температур хранения;относительная влажность воздуха;степень защищенности корпуса;габариты (ДхШхВ);вес;класс прибора;лазерный приемник;штатив;настенный держатель;чехол;сумка (кейс);батарейки;аккумуляторы;зарядное устройство","питание;продолжительность работы (от батарей);рабочий диапазон без приёмника (линии);рабочий диапазон без приёмника (горизонтальные точки);рабочий диапазон без приёмника (точка вверх);рабочий диапазон без приёмника (точка вниз);рабочий диапазон с приёмником;точность нивелирования (линии);точность нивелирования (горизонтальные точки);точность нивелирования (точка вниз);точность нивелирования (точка вверх);тип выравнивания;угол самовыравнивания;отключение выравнивания;время самовыравнивания;звуковой сигнал ""Вне уровня"";визуальный сигнал ""Вне уровня"";проекция;раздельное включение лучей;направление лазерных точек;направление лазерных линий;класс лазера;длина волны лазерного излучения;мощность лазерного излучения;цвет лазера;поверка;автоматика отключения при простое;время отключения при простое;возможность установки на штатив;диаметр резьбы под штатив;диапазон рабочих температур;диапазон температур хранения;относительная влажность воздуха;степень защищенности корпуса;габариты (ДхШхВ);вес;класс прибора;лазерный приемник;штатив;настенный держатель;чехол;сумка (кейс);батарейки;аккумуляторы;зарядное устройство"
лазерные_угольники,pitanie{1};diapazon_vidimosti_luchey{2};uglovaya_tochnost{3};proecirovanie_luchey{4};kol_vo_luchey{5};klass_lazera{6};dlin_voln_laze_izlu{7};mosc_laze_izlu{8};cvet_lazera{9};avto_otkl_pri_pros{10};vrem_otkl_pri_pros{11};diapazon_rabochih_temperatur{12};diapazon_temperatur_hraneniya{13};otno_vlaz_vozd{14};step_zasc_korp{15};ves{16};gabarity{17};klass_pribora{18};elementy_pitaniya_v_komplekte{19};nast_krep_v_komp{20};chehol_v_komplekte{21};keys_v_komplekte{22},питание;диапазон видимости лучей;угловая точность;проецирование лучей;кол-во лучей;класс лазера;длина волны лазерного излучения;мощность лазерного излучения;цвет лазера;автоматика отключения при простое;время отключения при простое;диапазон рабочих температур;диапазон температур хранения;относительная влажность воздуха;степень защищенности корпуса;вес;габариты;класс прибора;элементы питания в комплекте;настенное крепление в комплекте;чехол в комплекте;кейс в комплекте,питание;диапазон видимости лучей;угловая точность;проецирование лучей;кол-во лучей;класс лазера;длина волны лазерного излучения;мощность лазерного излучения;цвет лазера;автоматика отключения при простое;время отключения при простое;диапазон рабочих температур;диапазон температур хранения;относительная влажность воздуха;степень защищенности корпуса;вес;габариты;класс прибора;элементы питания в комплекте;настенное крепление в комплекте;чехол в комплекте;кейс в комплекте
