_attribute_set,attributes,attribute_labels_admin,attribute_labels_default
магнитные_захваты_извлекатели_,tip{1};dlina{2};max_gruzopodemnost{3};diametr_magnita{4};ves{5};nalichie_podsvetki{6};nalichie_zerkala{7},тип;длина;max грузоподъемность;диаметр магнита;вес;наличие подсветки;наличие зеркала,тип;длина;max грузоподъемность;диаметр магнита;вес;наличие подсветки;наличие зеркала
для_ручных_ножовок,tip_polotna{2};vid_nozhovki{3};obrabatyvaemyy_material{4};dlina_polotna{5};shirina_polotna{6};tolschina_polotna{7};kol_vo_zubev_na_dyuym{8};material_polotna{9};kol_vo_v_upakovke{10},тип полотна;вид ножовки;обрабатываемый материал;длина полотна;ширина полотна;толщина полотна;кол-во зубьев на дюйм;материал полотна;кол-во в упаковке,тип полотна;вид ножовки;обрабатываемый материал;длина полотна;ширина полотна;толщина полотна;кол-во зубьев на дюйм;материал полотна;кол-во в упаковке
скобы_для_степлеров,tip_steplera{2};tip_skob_obsc_klas_{3};tip_skob_klas_proi_{4};forma_skoby{5};dlina_skoby{6};shirina_skoby{7};sechenie_provoloki{8};material_skoby{9};kol_vo_skob_v_upakovke{10};dop_dannye{11},тип степлера;тип скобы (общая классификация);тип скобы (классификация производителя);форма скобы;длина скобы;ширина скобы;сечение проволоки;материал скобы;кол-во скоб в упаковке;доп.данные,тип степлера;тип скобы (общая классификация);тип скобы (классификация производителя);форма скобы;длина скобы;ширина скобы;сечение проволоки;материал скобы;кол-во скоб в упаковке;доп.данные
гвозди_шпильки_для_степлеров,tip_steplera{1};tip_krepezha{2};tip_gvozdya{3};tip_shpilki{4};dlina{5};diametr_sechenie_provoloki{6};shirina_shlyapki{7};material{8};kol_vo_v_upakovke{9},тип степлера;тип крепежа;тип гвоздя;тип шпильки;длина;диаметр/сечение проволоки;ширина шляпки;материал;кол-во в упаковке,тип степлера;тип крепежа;тип гвоздя;тип шпильки;длина;диаметр/сечение проволоки;ширина шляпки;материал;кол-во в упаковке
заклепки,vid{1};diametr{2};dlina{3};tols_skre_mate{4};material_izgotovleniya{5};ves{6};kol_vo_v_upakovke{7},вид;диаметр;длина;толщина скрепляемых материалов;материал изготовления;вес;кол-во в упаковке,вид;диаметр;длина;толщина скрепляемых материалов;материал изготовления;вес;кол-во в упаковке
венчики_мешалки_,naznachenie{1};obschaya_dlina{2};diametr_lopasti{3};tip_hvostovika{4};diametr_hvostovika{5};material{6};ves{7},назначение;общая длина;диаметр лопасти;тип хвостовика;диаметр хвостовика;материал;вес,назначение;общая длина;диаметр лопасти;тип хвостовика;диаметр хвостовика;материал;вес
патроны_зажимные_адаптеры,tip_osnastki{1};tip_patrona{2};perehod_adaptera{3};sistema_posadki_patrona{4};posadochnyy_razmer_patrona{5};min_diam_zazh_hvos{6};max_diam_zazh_hvos{7};material_korpusa_patrona{8};ves{9};dop_dannye{10},тип оснастки;тип патрона;переход адаптера;система посадки патрона;посадочный размер патрона;min диаметр зажимаемого хвостовика;max диаметр зажимаемого хвостовика;материал корпуса патрона;вес;доп. данные,тип оснастки;тип патрона;переход адаптера;система посадки патрона;посадочный размер патрона;min диаметр зажимаемого хвостовика;max диаметр зажимаемого хвостовика;материал корпуса патрона;вес;доп. данные
кельмы_мастерки_ковши,tip{1};forma_rabochey_chasti{2};material_rabochey_chasti{3};pokrytie_rabochey_chasti{4};material_rukoyatki{5};dlina{6};shirina{7};vysota{8};diametr{9};ves{11},тип;форма рабочей части;материал рабочей части;покрытие рабочей части;материал рукоятки;длина;ширина;высота;диаметр;вес,тип;форма рабочей части;материал рабочей части;покрытие рабочей части;материал рукоятки;длина;ширина;высота;диаметр;вес
воздуходувки_садовые_пылесосы,tip_ustroystva{1};ispolnenie{2};pitanie{3};tip_benzinovogo_dvigatelya{4};tip_akkumulyatora{5};napryazhenie_pitaniya{6};chastota_pitayuschey_seti{7};emkost_akkumulyatora{8};vremya_zaryadki_akkumulyatora{9};moschnost_dvigatelya{10};obem_dvigatelya{11};obem_toplivnogo_baka{12};obem_maslyanogo_baka{13};skor_holo_hoda_dvig{14};vremya_avtonomnoy_raboty{15};max_skorost_vozdushnogo_potoka{16};skor_vozd_poto_vydu_{17};propusknaya_sposobnost_vozduha{18};razrezhenie_vozduha{19};funkciya_izmelcheniya{20};koefficient_izmelcheniya{21};nalichie_musorosbornika{22};tip_musorosbornika{23};obem_musorosbornika{24};puskovoy_nasos{25};elektronnoe_zazhiganie{26};uroven_shuma{27};ves{28};razmer{29};kol_vo_akku_v_komp{30};zary_ustr_v_komp{31},тип устройства;исполнение;питание;тип бензинового двигателя;тип аккумулятора;напряжение питания;частота питающей сети;емкость аккумулятора;время зарядки аккумулятора;мощность двигателя;объем двигателя;объем топливного бака;объем масляного бака;скорость холостого хода двигателя;время автономной работы;max скорость воздушного потока;скорость воздушного потока (выдув);пропускная способность воздуха;разрежение воздуха;функция измельчения;коэффициент измельчения;наличие мусоросборника;тип мусоросборника;объем мусоросборника;пусковой насос;электронное зажигание;уровень шума;вес;размер;кол-во аккумуляторов в комплекте;зарядное устройство в комплекте,тип устройства;исполнение;питание;тип бензинового двигателя;тип аккумулятора;напряжение питания;частота питающей сети;емкость аккумулятора;время зарядки аккумулятора;мощность двигателя;объем двигателя;объем топливного бака;объем масляного бака;скорость холостого хода двигателя;время автономной работы;max скорость воздушного потока;скорость воздушного потока (выдув);пропускная способность воздуха;разрежение воздуха;функция измельчения;коэффициент измельчения;наличие мусоросборника;тип мусоросборника;объем мусоросборника;пусковой насос;электронное зажигание;уровень шума;вес;размер;кол-во аккумуляторов в комплекте;зарядное устройство в комплекте
секаторы_кусторезы_сучкорезы_ножницы,tip{1};obschaya_dlina{2};dlina_lezviya{3};dlina_rukoyatok{4};max_diametr_reza{5};material_lezviya{6};pokrytie_lezviya{7};pokrytie_rukoyatok{8};teleskopicheskie_rukoyatki{9};fiksator_lezviy{10};ves{11};dop_dannye{12},тип;общая длина;длина лезвия;длина рукояток;max диаметр реза;материал лезвия;покрытие лезвия;покрытие рукояток;телескопические рукоятки;фиксатор лезвий;вес;доп.данные,тип;общая длина;длина лезвия;длина рукояток;max диаметр реза;материал лезвия;покрытие лезвия;покрытие рукояток;телескопические рукоятки;фиксатор лезвий;вес;доп.данные
ножовки_садовые,naznachenie{1};skladnoe_polotno{2};dlina_polotna{3};kol_vo_zubev_na_dyuym{4};zakalennye_zubya{5};zatochka_zubev{6};material_polotna{7};tverdost_polotna_po_Rokvellu{8};material_rukoyatki{9};ves{10};chehol{11},назначение;складное полотно;длина полотна;кол-во зубьев на дюйм;закаленные зубья;заточка зубьев;материал полотна;твердость полотна по Роквеллу;материал рукоятки;вес;чехол,назначение;складное полотно;длина полотна;кол-во зубьев на дюйм;закаленные зубья;заточка зубьев;материал полотна;твердость полотна по Роквеллу;материал рукоятки;вес;чехол
лопаты_совки_посадочные,tip{1};material_polotna{2};cherenok{3};material_cherenka{4};teleskopicheskiy_cherenok{5};skladnaya_konstrukciya{6};obschaya_dlina{7};dlina_polotna{8};dlina_cherenka{9};shirina_polotna{10};ves{11},тип;материал полотна;черенок;материал черенка;телескопический черенок;складная конструкция;общая длина;длина полотна;длина черенка;ширина полотна;вес,тип;материал полотна;черенок;материал черенка;телескопический черенок;складная конструкция;общая длина;длина полотна;длина черенка;ширина полотна;вес
грабли_вилы,tip{1};kol_vo_zubev_prutev{2};regulirovka_shiriny{3};min_shirina{4};max_shirina{5};obschaya_dlina{6};material_rabochey_chasti{7};nalichie_rukoyatki{8};material_rukoyatki{9};rekomenduemaya_dlina_rukoyatki{10};teleskopicheskaya_rukoyatka{11};ves{12},тип;кол-во зубьев/прутьев;регулировка ширины;min ширина;max ширина;общая длина;материал рабочей части;наличие рукоятки;материал рукоятки;рекомендуемая длина рукоятки;телескопическая рукоятка;вес,тип;кол-во зубьев/прутьев;регулировка ширины;min ширина;max ширина;общая длина;материал рабочей части;наличие рукоятки;материал рукоятки;рекомендуемая длина рукоятки;телескопическая рукоятка;вес
рыхлители_культиваторы_полольники_мотыги_вилки,tip{1};kol_vo_zubev{2};material_rabochey_chasti{3};nalichie_rukoyatki{4};material_rukoyatki{5};regulirovka_dliny_rukoyatki{6};dlina_rukoyatki{7};obschaya_dlina{8};rabochaya_shirina{9};ves{11},тип;кол-во зубьев;материал рабочей части;наличие рукоятки;материал рукоятки;регулировка длины рукоятки;длина рукоятки;общая длина;рабочая ширина;вес,тип;кол-во зубьев;материал рабочей части;наличие рукоятки;материал рукоятки;регулировка длины рукоятки;длина рукоятки;общая длина;рабочая ширина;вес
наборы_для_обработки_почвы,kol_vo_predmetov_v_nabore{1};sovok_posadochnyy{2};dlina_sovka_posadochnogo{3};grabli_veernye{4};dlina_grabley_veernyh{5};grabli_sadovo_ogorodnye{6};dlina_grabley_sadovo_ogorodnyh{7};motyga_sapka_tyapka_{8};dlina_motygi{9};motyga_ryhlitel{10};dlina_motygi_ryhlitelya{11};ryhlitel_kultivator_{12};dlina_ryhlitelya{13};udlinitel_rukoyatki{14};dlina_udlinitelya{15};material_rabochih_chastey{16};material_rukoyatok{17};ves_nabora{18};upakovka{19};dop_komplektaciya{20};dop_dannye{22},"кол-во предметов в наборе;совок посадочный;длина совка посадочного;грабли веерные;длина граблей веерных;грабли садово-огородные;длина граблей садово-огородных;мотыга (сапка, тяпка);длина мотыги;мотыга-рыхлитель;длина мотыги-рыхлителя;рыхлитель (культиватор);длина рыхлителя;удлинитель рукоятки;длина удлинителя;материал рабочих частей;материал рукояток;вес набора;упаковка;доп. комплектация;доп. данные","кол-во предметов в наборе;совок посадочный;длина совка посадочного;грабли веерные;длина граблей веерных;грабли садово-огородные;длина граблей садово-огородных;мотыга (сапка, тяпка);длина мотыги;мотыга-рыхлитель;длина мотыги-рыхлителя;рыхлитель (культиватор);длина рыхлителя;удлинитель рукоятки;длина удлинителя;материал рабочих частей;материал рукояток;вес набора;упаковка;доп. комплектация;доп. данные"
