attribute,attribute_label_admin,attribute_label_default,value
tip_cokolya,"тип цоколя","тип цоколя","GY6.35;E27;E27 + E14;R7S 118;G9;R7S 118 + G9;E14 + E27;2GX13 + E14;E14;LED + GY6.35;LED;G23;G4;GR10;E27 + GU10;E27 + E27;E27 + GX53;E27 + G9;R7S + G9;R7S;2G11;2GX13;G5;2G11 + LED;2GX13 + GX53;GU10;G10Q;E27/GU10;GR10/E14;E27/E14;2GX13/E14;G9 + GU10;G9 + GU11;E27 + E2;E14 + G9;G10q;Е14 + G9;Power LED;Е27;2G7;2GX53;GZ10;GX53;G53;G24Q1;GU10 + LED;GR8;E27 + 12LED;G24d-3;RX7s;G12;GY 6.35;E14 + GU10;R7S 78mm;T5;T5 FC;GU5.3;E14/GU10;Module 6 LED;Module 4 LED;G24d-2;G24-d1;GR10Q;R7s;Е40;cable;E40;Rx7s;Rx7s-24;R7S 78;module 16 LED;TL5;2GX13 + LED;G13;G5, T5;T5, G5;T8, G13;2G11, G5, T5;G5,T5;G13,G5;G24q2;Led;GX13;E;High Power LED;ML111;2GХ13;GX5.3;G14;GU 10, E14;E27ECO, E27;R7S 117 mm;R7s 117 mm;R7S 117mm;G5, G13;G5, GX10, GU5.3;40;LED + G9;PowerLED;G4/LED;LED/2GX13;module 6 LED;GU4;G5.3;GU10/GU5.3;GU10/LED;E27 + LED;GX16d;R7s (J118);GU-10F;GX70;GX40;G24q;GR10q;2G8-1;G24d-1;G24q-1;G24q-2;G24q-3;2G10;2GX11;GX24d-1;GX24d-2;GX24d-3;GX24q-1;GX24q-2;GX24q-3;GX24q-4;GX24q-5;GX24q-6;2G13;W4.3x8.5d;Fa6;GRZ 10d;B22;G24q3;G24d3;GX24q3;G24d1;G24q1;GX24q1;FA6;R18s;GRZ 10t;G24d;Е14;G13, G5, G10q;Fa4;B15d;GY4;BA15d;B15;B15D;GE Fa4;GU7;G6.35;GZ4;G9.5;FA4;G8.5;G-9;G-9S;GU-10S;STC;GZ6.35;GY9.5;GY22;PGJX50;PG950;SFC 10-4;SFC 11;GZ9.5;G22;4-х штырьковая с одним цоколем;одноштырьковая;кабель;4-pin;KY10s;PICO9;Sfc15-6/25/SFc15-6/25;Sfa13-5/20/Spezial;SfcY10-4/SFcY10-4;SfcX14-6/25/SFc15-6/25;Sfc30-6/25/SFc27-10/35;Sk33s/42/Sfc27-12/35;Sfa30-6/50/SFc30-6.5/50;SXFc15-6/20/SFc15-6/20;Sfc27-10/35/SFa27-20/22;SF33.5/50/SFa33.5-10/50;SfaX14-5/21/SFcX15-6/25;Sfc27-12/35/SFc27-7/35;Sfc27-7/35/SFc27-10x1.25/35;Sfc27-7/35/SFc27-12x1.5/35;Sfc33.5-12/50/SFYc33.5-14/50;SFc32.5-6.7/50(-)/SFaX40-6/50(+);Pin/Pin;Sfc10-4/SFc10-4;Sfa9-2/SFa7.5-2;Sfa8-2/SFa6-2;Sfa6-2/SFa6-2;SfaX27-9.5(+)/SFc28-27(-);SFaX30-9.5(+)/SFa30-7.9(-);SCREW.TERM;SCREW.TER;P32d;GX9.5;Single 4 pin end cap;P28S;Slv;GX23;Fa8;Single Contact Midget Flanged;резьбовой;Gx16d;клеммы винтовые;GQ9.5;SFaX2714x80(+)SFc271645(-);25x51;G38;30x70Cylinder LEAD 165;30x70 Cylinder LEAD 165;G51;CER;PK30d;GY16;P28s;G22/30x53;E39;GX38q;P40s;GZY9.5;G17t;специальный;X515;P40S;Sfa 2112;SFc 10-4 Sleeve/Thd.PinM4;GZZ9.5;Source Four;r7s long;SK15;Sk15;SFc;SFa21;SFc10-4;E26;P30s;G17q-7;G17q7;GY17q-7;Ba15s;CX7.9;GX7.9;GY5.3;GY.5.3;S30X70;S25.5X60;Sfa14-12;SFc15.6-6;FaX1.5;G8;PG22d;B22d;BA15s;PX28s;SK32;P32-d;GX6.35;цоколь с коническим концом;U-clip;X-clip;X-сlip;SK11;GZ 6.35;CAP 15.8/14.7 кабель;CAP 15.8/14.7 Кабель;B22d3;A26/14;S25.5x60;SFc15.5-6;GY38;GZX9.5;Ba15d;C14X;S30x70;SFc15.56;2-Pin;SCREW.TERM (BB);E40s;G15;Sl;Miniature Bipin;Mog End Pr;Special 1 Ribbon Leads;D.C.Bay;RX7S;SFc 10-4 SI/M4;30x70;GX38;Ferrule;Screw Terminals;D.C. Bay;Ba9s;Wire Terminals;2-Pin (G4);2-pin;Single Contact Miniature Flanged;Tel Slide #5;PGJX28;Special;Mycalex cap & Prefocus collar;Double Contact Prefocus;Wedge (W2.1x9.5d);2Pin (G4);Miniature Bayonet (Ba9s);S.C. Bay;Med. Screw;Double Contact Bayonet (BA15d);Miniature Candelabra Screw (E11);MiniCand;RSC;D.C. Bay.;Mini-Cand.;2Pin GX5.3;2Pin (G6.35);Miniature BiPin (G5.3);2Pin (GX5.3);2Pin (GZ6.35);2Pin;2Pin Vented (G7.9);2G11-4 Pin;GX23-2 Pin;G23-2 Pin;Med. (BB);Candelabra Screw (E12);2G11 4-Pin;SFc 10-4 SleeveThd.PinM4;SFc 10-4 Sl/M4;2-Pin (GX5.3);Miniature Bi-Pin (G5.3);Oriented Medium 2-Pin (GZ9.5);1-Pin G4;Screw Terminal;G9.5 HPL Base;Fc2;G5.34.8;GZX4;G6.35-20;PG22;провода с плоским штекерным разъемом;провода с плоским гнездовым и штекерным;провода с плоским гнездовым разъемом;провода с круглым гнездовым разъемом;Bajonett;SfaX27-9.5(+)/SFa27-7.9(-);SFaX30-14/68(+)/SFc30-20/50(-);SFc27-14(+)/SFa27-14(-);SFa25-14(+)/SFc25-14(-);SFcX27-14(+)/SFa27-14(-);SFaX27-14x80(+)/SFc27-16/45(-);SFaX27-9.5(+)/SFa27-7.9(-);SFaX30-9.5(+)/SFaX30-7.9(-);SFaX27-13(+)/SFaX27-14(-);SFa28-13(+)/SFc28-13(-);SFa28-14(+)/SFc28-13(-);SFc28-13(+)/SFaX28-13(-);SK27/50(+)/SFcX27-8(-);SFcX25-10(+)/SFcX25-10(-);SFa27-11(+)/SFcX27-8(-);SFa25-10(+)/SFa25-12(-);SFa16-8(+)/SFa15-10(-);SFa20-8(+)/SFa20-10(-);SFa30-14(+)/SFc30-14(-);SFaX30-16(+)/SFa28-18(-);SFa27-14(+)/SFc27-14(-);SFaX27-10(+)/SFaX27-12(-);SK27/50(+)/SFcX27-8(+)/45(-);SFa27-11(+)/SFa27-11(-);SFa27-10(+)/SFa27-12(-);SFaX27-9.5(+)/SFaX27-7.9(-);SFc28-13(+)/SFc28-13(-);SFaX27-10(+)/SFa27-12(-);SFc12-4(+)/SFcX12-4(-);SFa9-2(+)/SFa7.5-2(-);R7s-18;R7s-15;SFc15.5;G22/28x50;SFc11-4;S25.5;спецкабель;FaX1.5-3x1;P32d-2;S30;SFa21-12;GX51;GX38/52;G22/28x42;K9X15/21;Sfc15-6/25/SXFc15-6/20;SfaX40-13/50/SFa40-12/45;SFYc33.5-14/50/SFc33.5-12/50;Sfc13-5/SFc13-5;BA15d/21;BA20d;BA20s;S14s;S14d;RX7s-24 + RX7s-24;Fc2/18 + Fc2/18;RX7s + RX7s;RX7s-24 +  RX7s-24;GU5.3/GY6.35;Gx5.3;GU-10P;GU-10D;GU 5.3;GX8.5;RX7S-24;RX7s-24;FC2;штекер;Fc-2;K12s-36;PGZ12;PGJ5;PGX12-2;PG12-2;GU6.5;X528;(P)SFC;X830R;PG12-1;GX12-1;GX10;Rх7S;Cable;Rx7sm;spec;Fc2/18;RX 7s-24;BY22d;CAP 15.814.7 CABLE;RX7s24;2G7 G24q-1 G5;GX24q-3 GX24q-4 G24q-3 2G11 2G10 G13 2Gx13 G5;GX24q-3 G24q-3 GX24q-4 G24q-4 GX24q-5 GX24q-6 2G8-1;2G10 2G11;GX24q-2 GX24q-3 GX24q-4 G24q-2 G24q-3;G5 G13 G24q-2 GX24q-2;G5 G13 2G10 2G11 G100 GX24q-2 2Gx13 2G13;2G7 G5 G13 G24q-1 GX24q-1;2Gx13;G5 2G11;G5 2G11 G13;G8.5 GU6.5;G12 E27;G12 E27 RX7s-24;G8.5 GU6.5 G12;G8.5 GU6.5 G12 RX7s E27 GX8.5;G12 G8.5 E27 PG12-2 RX7s GX8.5;G12 E40 G22 G8.5 GU6.5 E27 RX7s RX7s-24 Fc2 K12s-36;G5 G24-d;G5 G23;E40 GX22 X830R кабель;G12 G8.5 GX10 PGJ5 GU6.5 GX8.5;G12 PGX12-2 RX7s;G12 G8.5 E27 PGJ5 GX8.5;2G7 G5 G24q-1;2G7 G5;GX24q-2 G24q-2 GX24q-1 G24q-1;2G11 G5;2G81;PG121;GX24q-2 GX24q-3 GX24q-4 GX24q-5 G24q-2;GX24q4 GX24q5;GX24q3 GX24q4 G24q3 2G11 2G10 G13;GX24q2 G24q2;E27 E40;G8.5 G12 PG122 RX7s GX8.5 E27;G24d GX24d;2G10  2G11  G24d  GX24d;2G10  2G11  GR8  G24d  GX24d;2G10  2G11  GR8;G24d  GX24d;2G7  G24d  GX24d;G10d;2G10  2G11;GR14q-1;GX24q-6  GX24q-5;GX24q-5  GX24q-6;G24q-2  GX24q-2  G24q-3  GX24q-3  GX24q-4;GR14q1;G24q  GX24q;G13 G5;2G11 G13;G5 GR10q;2G11, G13;G13/G5;PKX22s;K23d;P13.5s;E10;SV8.5;W2x4.6d;BA9s;W2.1х9.5d;P43t;BAY15d;B8.3d;BX8.4d;BAX9s;SV8.5-8;2x4.6d;PGJ13;P20d;P22d;PX26d;BA7s;PX13.5s;P45t;EBS R11;BAU15s;B8.5d;PK22s;X511;P14.5s;P29t;BAY9s;BAY9S;W3X16q;W3X16d;BAZ15D;PG13;PX29t;P43t-38;B8.4d;PGJ19-1;PGJ19-5;PGJ19-2;W3xq;W3x16d;P32D-2;P32D-3;B10d;BG8.5;BG85.5d;B8.5;SV7;BAZ15d;W3x16q;W2.5x16q;W2.5x16d;P32d-6;P32d-5;P32d-3;PY20d;PX14.5s;P45t-41;P43t38;P26.4t;PZ20d;BX8.5d;WX3x16d;G4/штепсельный соединитель GZ4;G4 / штепсельный соединитель GZ4;G4 /GU4 / GU5.3 / GY6.35;G4 / GU4 / GU5.3 / GY6.35;G5 / G13;G24-d2;G24-q3;G24-q2;GX24-q3;G24-q1;G24-d3;GX24-q4;2G11/G53;G53/GX8.5;G24-d3, G24q-3;E27, E40;G5, GX8.5;Е10;GX24p-3"
napryazhenie,напряжение,напряжение,"220 V;230 V;100 V;12 V;220 - 240 V;230 + 230 V;230 - 231 V;2220 V;12 (трансформатор) V;100 - 240 V;60 V;LED V;380 V;3.2 V;220-240 V;210 V;4.5 V;220 - 230 V;18 V;40 V;2300 V;12/230 V;220/12 V;22 V;240 V;220 - 235 V;230 - 240 V;23 V;220 -240 V;нельзя использовать с регулятором освещения V;50 - 60 V;220 -  240 V;80 V;77 V;103 V;102 V;64 V;35 V;47 V;115 V;91 V;61 V;112 V;105 V;120 V;135 V;126 V;62 V;84 V;82 V;123 V;167 V;209 V;75 V;152 V;191 V;118 V;57 V;110 V;29 V;42 V;56 V;95 V;55 V;128 V;96 V;38 V;90 V;104 V;86 V;166 V;205 V;199 V;155 V;110 - 145 V;120 - 230 V;120 -230 V;250 V;6 V;10 V;50 V;24 V;6.4 V;235 V;15 V;94 V;33 V;51 V;49 V;46 V;97 V;68 V;175 V;92 V;106 V;89 V;14 V;8 V;10.8 V;22.8 V;21 V;13.8 V;400 V;30 V;9 V;45 V;37.7 V;39 V;67.5 V;27.1 V;26 V;25.8 V;25 V;60 - 96 V;60 - 90 V;70 - 95 V;20 - 25 V;46...66 V;57...66 V;47 - 57 V;54 - 67 V;18 - 23 V;20 - 26 V;39 - 45 V;34 - 39 V;43 V;28 V;85 V;19 V;36 V;575 V;6.6A V;200 - 220 V;144 V;59 V;180 V;12.8 V;125 V;58 V;83 V;37 V;34 V;44 V;20 V;160 V;225 V;130 V;230 - 250 V;200 V;480 V;115 - 125 V;550 V;13 V;5755 V;220 - 250 V;70 V;41 V;6.2 V;5.5 V;138 V;108 V;4 V;14.5 V;67 V;72 V;101 V;240 - 250 V;5 V;87 V;1400 V;145 V;150 V;275 V;141 V;71 V;158 V;54 V;207 V;277 V;208 V;98 V;600 V;17 V;1050 V;910 V;840 V;1080 V;1430 V;1920 V;1850 V;245 V;510 V;570 V;460 V;176 V;107 V;185 V;3.7 V;6.5 V;6.3 V;5.4 V;6.7 V;14.4 V;37.5 V;3.5 V;5.9 V;2.38 V;140 V;270 V;115/120 V;5.8 V;13.5 V;7.5 V;0.23 V;27 V;32 V;16 V;15.91 V;65 V;97.5 V;92.5 V;93 V;280 V;81 V;10.5 V;2024 V;20 - 24 V;100 - 277 V;122 V;117 V;164 V;109 V;176 - 254 V;120 - 240 V;220/50 V;198 - 254/10 V;198 - 254/24 V;380 - 415 V;5.2 V;2.8 V;198 - 264 V;342 - 440 V;11 V;230/12 V;230 - 240/12 V;220/11,6 V;220/11.8 V;198-264 V;230-240 V;230/11.5 V;230 - 240/11.5 V;230 - 240/11.3 - 11.7 V;3.3 V;220 - 230/11.5 V;16.8 V;7.2 V;9.6 V;7 V;25.2 V;3.6 V;4.8 V;32.4 V;450 - 750 V;230/12/14.4/18 V;1.5/1.2 V"
