"Close","Закрыть"
"Quantity","Кол-во"
"Price","Цена"
"Product","Товар"
"Remove","Удалить"
"Related Products","Сопутствующие товары"
"Total","Итого"
"View Cart","В корзину"
"View all products","Все товары"
